Company Name,Ticker,Optionable,Sector,Industry,Market Cap ,Shares Outstanding ,Avg Volume,Last Close,Beta,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range
"Agilent Technologies, Inc.",A,YES,Computer and Technology,Electronics - Testing Equipment,21022.21,322.48,2426524.75,65.19,1.31,74.82,52.33,57.18
Alcoa Corp.,AA,YES,Industrial Products,Metal Products - Distribution,9424.21,186.18,3135246.75,50.62,0.27,56.99,29.69,76.67
Advanced Accelerator Applications S.A.,AAAP,YES,Medical,Medical - Drugs,3589.76,43.98,0,81.63,0.69,82.32,35.54,98.53
Altaba Inc.,AABA,YES,Finance,Financial - Investment Management,59773.99,873.38,6192127,68.44,1.95,80.3,46.44,64.97
"AAC Holdings, Inc.",AAC,YES,Medical,Medical - Outpatient and Home Healthcare,272.67,23.9,119692.75,11.41,1.36,12.87,6.05,78.59
American Airlines Group Inc.,AAL,YES,Transportation,Transportation - Airline,23571.77,473.14,3666144.5,49.82,0.96,58.47,41.81,48.08
"Aaron's,  Inc.",AAN,YES,Retail-Wholesale,Retail - Consumer Electronics,3230.55,70.08,665453.38,46.1,0.05,48.89,30.16,85.1
"Applied Optoelectronics, Inc.",AAOI,YES,Computer and Technology,Electronics - Semiconductors,475.04,19.5,1011476.5,24.36,2.63,99.61,23.65,0.93
"AAON, Inc.",AAON,YES,Construction,Building Products - Air Conditioner and Heating,1787.86,52.43,226950.91,34.1,0.77,39.25,31.65,32.24
"Advance Auto Parts, Inc.",AAP,YES,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,8163.48,73.98,954527.38,110.35,1.04,151.47,79.38,42.96
Apple Inc.,AAPL,YES,Computer and Technology,Computer - Mini computers,862835.94,5074.01,32391668,170.05,1.25,181.72,140.68,71.56
"American Assets Trust, Inc.",AAT,YES,Finance,REIT and Equity Trust - Retail,1605.9,47.21,444958.16,34.02,0.41,44.53,31.72,17.95
"Almaden Minerals, Ltd.",AAU,YES,Basic Materials,Mining - Gold,82.36,102.2,149303.2,0.8059,-0.58,1.72,0.76,4.38
